tweet,user,location,created,likes,sentiment,centroid_lats,centroid_lons
Let my dogs GF in the house this evening.Mishka ate his chicken from supper that was in his https://t.co/pLDK1djTz0… https://t.co/qfppnbOiKf,sheen_bean13,Nova Scotia,2020-05-26 23:47:59,1,-0.6,44.073,-62.871
"It's 5'oclock somewhere 🤗🤣😎 #cheers 
Tea Break ☕🍵🍷🍹🍸
Happy Tuesday! Sending you all Positive Vibes 💫… https://t.co/NbHVRurSD1",multimomtam,"Cerritos, CA",2020-05-26 23:29:44,0,0.5136363636363637,33.867,-118.069
This article is about us. And about our smallness. About the inconstancy of our certainties in the face of an unima… https://t.co/FNtZ6z0dCj,layane_mds,,2020-05-26 23:28:55,0,0.0,,
"Citrus blackberry breeze
.
.
.
.
.
.
.
#yummy #ilovecooking #nomnomnom #instagramfood #food #foodies #foodceleb… https://t.co/UAewE6r7oN",JimmyTr31087205,,2020-05-26 23:11:09,1,0.0,,
"I also choose Will Smith's house 😅🏠

https://t.co/EjZh6fLF5z

#FunSubstance #Fun2020 #Fun #FunSubstance2020… https://t.co/XKa4NpuzLR",FunSubstance,World Wide Web,2020-05-26 22:56:29,0,0.3,,
#coronavirus #quarentine #freestyle SIG SICK! Freestyle FACTS🤔💯 https://t.co/boJnyBXYII via @YouTube,SilenceIsGod1,Philly,2020-05-27 23:48:38,0,-0.7142857142857143,40.002,-75.118
There's a limit #quarentinethoughts #quarentine #pizzarolls #quarenthoughts https://t.co/IfvXfiGDTP,sean_t_kelly2,"Lenexa, KS",2020-05-27 23:07:20,0,0.0,38.954,-94.807
#workinprogress #quarentine #masks...if i have to wear a mask it's certainly going to be unique. https://t.co/XdSA2HB6zc,kittehpsycho,,2020-05-27 23:04:33,0,0.29464285714285715,,
Myself and the girls playing #onlytime by #enya we are delighted to still be able to play some #music together virt… https://t.co/8wVOvRoE4D,LauriePower6,,2020-05-27 22:39:48,0,0.6,,
"Well, this was certainly a ""look"" 🤭

#mustache #bigodinfinin #quarentine  #justdontcare # em Quarentena City https://t.co/D1JH175Xwk",DexMorningstar,Auckland - New Zealand,2020-05-27 22:37:01,0,0.21428571428571427,-36.863,174.865
"Peanut chicken vermicelli bowl and spring rolls
.
.
.
.
.
.
.
#yummy #ilovecooking #nomnomnom #instagramfood #food… https://t.co/h4QTnvbdOe",JimmyTr31087205,,2020-05-28 23:32:40,1,-0.6,,
"Repeat after me 😂
#lesson1 @gregoriopernia
.
.
#eltiti #gregoriopernia #fanscluboficial #sinsenossíhayparaíso… https://t.co/dcWYvM5eXP",GregoPerniaFANS,Internacional / Sede en Perú,2020-05-28 23:26:02,0,0.0,,
"@lanebryant if you could make Hipsters with the days of the week on the front, Monday to Sunday on each pair, sell… https://t.co/JqRUtZBkwc",jj_vah,,2020-05-28 23:23:34,0,0.0,,
#satsangsatyaprem #ficaemcasa #stayhome #quedateencasa #quarentine #whoareyou #quemévocê #quienerestu #chiseitu… https://t.co/UTbqm9w761,satyaprem,brazil,2020-05-28 22:57:09,0,0.0,-14.409,-51.317
"“That’s going back in the vault” ~faith
.
.
.
We’re talking dating on tomorrow’s NEW episode! Who’s ready?
.
.
.… https://t.co/0CBQHDMqAQ",threeblondespod,,2020-05-28 22:46:53,2,0.11212121212121212,,
Makin’ @ladygaga Orgullosa!!!! Brothers that dance together...well we did try 😅 abeortiz #fyp #ladygaga… https://t.co/YB6NIPVe46,timidorintintin,"Chicago, IL",2020-05-29 23:40:39,0,0.0,41.834,-87.732
@daz_black was ahead of us all before #Quarentine 😂😂 #QuarentineLife https://t.co/STk889NImn,MartinBrown99,U.K,2020-05-29 23:36:05,0,-0.16666666666666666,47.739,12.509
"Day 17: The Godfather Part 2.

One of the best sequels ever.

#canada #30dayfilmchallenge #filmchallenge… https://t.co/HOaUJLQQ7v",MeganNez,"Toronto, Ontario, Canada 🇨🇦",2020-05-29 23:31:00,1,1.0,43.718,-79.378
Anyone else been a nudist in quarantine? 😂 #quarentine #nudist #covid #selfie #naked #tattoos #whoneedsclothes https://t.co/NFcNbACQg2,Chrystal_A1,,2020-05-29 23:28:50,0,0.0,,
#satsangsatyaprem #ficaemcasa #stayhome #quedateencasa #quarentine #whoareyou #quemévocê #quienerestu #chiseitu… https://t.co/ZDOWFPQST5,satyaprem,brazil,2020-05-29 23:22:55,0,0.0,-14.409,-51.317
"The new happy hour •
•
•
•
•
#queer #lgbt #instagay #lgbtq #happyhour #quarentine #cocktails #corona #gaypride… https://t.co/v9gw1RxCoR",ChrisTheJeweler,"Jersey City, NJ",2020-05-30 23:54:22,1,0.4681818181818182,40.715,-74.069
#CiudadFantasma where is the people? #Cuarentena #Quarentine #Mexico #PostalUrbana #PicOfTheDay https://t.co/prYUEQ8Qq8,DonovanEsau,México,2020-05-30 23:41:53,1,0.0,23.554,-102.621
Working ( ok... Doing homework) 🤯 #work #school #quarentine #homework https://t.co/H8l2Ce861m,Jimena54588865,,2020-05-30 23:30:33,1,0.5,,
"We must be living in a simulation. 
 
#COVID19
#quarentine 
#2020election 
#GeorgeFloydProtests",joelmichaelg,"Denver, CO",2020-05-30 23:07:53,0,0.0,39.764,-104.855
those who said 2020 was their year... I think it’s safe to say that it’s nobody’s year😔 #2020 #quarentine,BlasseMusic,"The Woodlands, TX",2020-05-30 22:44:49,0,0.5,30.168,-95.524
"Cheese on your???? ... HELL YEAH!!! 🐷🐷🐷🐷🐷🐷🐷🐷🐷🐷🐷

🐷
...
.... #nocaptionneeded 🤤🤤🤤
.
..
...
....
.....
....... ......… https://t.co/JyZvx9IKvn",djprez1,Los Angeles - Laker Town,2020-05-31 23:41:49,0,0.0,,
Come join me on my first playthrough of The Last Of Us. i know im a little late to the party but I'm excited to hop… https://t.co/MPeho7h1AW,LiveWithWinter,"My own little world, USA",2020-05-31 23:00:04,1,0.027500000000000004,,
Two more today. @hburgess7997 ❤️♥️😍😍 Love how these turned out!! #handmade #quarentine #teachertwitter https://t.co/Lp8TyVWJCb,mrsLahayne2nd,,2020-05-31 22:53:59,4,0.5,,
My bestie and me on Fiji #quarentine #AnimalCrossing #ACNH #NintendoSwitch https://t.co/mxo3fZ863A,ladymintytv,"Hawaii, USA",2020-05-31 22:42:50,1,0.0,23.691,-166.6
"Quarentine moment in Buenos Aires... Argentina...where's everybody?

#anonymus #coronavirus #Knock #QuarentineLife… https://t.co/BMtIcY70dW",pablolarosaxo,Ciudad de Buenos Aires,2020-05-31 21:32:16,7,0.0,-34.616,-58.433
"Insight information from these papers to understand how consumers are reacting to this pandemic.

""Top 6 trends sha… https://t.co/hTvR1if8as",sisSoftware,"New York, USA",2020-06-01 23:58:50,0,0.5,40.697,-73.98
Need something fun to do while your stuck at home? Sick of your wardrobe? Check out uptown cheapskate but don’t for… https://t.co/4wAXWvADry,SocialNN_Utah,"Salt Lake City, UT",2020-06-01 23:57:57,1,-0.20714285714285716,40.777,-111.92
"Radius Authorial Superhero, coming soon... #radius #authorial #comics #superheroes #marvel #marvelcomics #dccomics… https://t.co/Q9ZRgyaX5K",radius_hero,"Marília, Brasil",2020-06-01 23:56:22,0,0.0,-22.187,-49.959
Lol he Cut his own hair he did a #quarentine hair cut honestly he did a better job then some of you barbers no cap… https://t.co/DEGCdxQHFC,PureMoneyKRose,"Washington, USA",2020-06-01 23:33:36,0,0.625,47.273,-120.882
people forgot all about the corona virus because of anonymous. #anonymus #coronavirus #quarentine,heybitchq,,2020-06-01 23:25:28,3,0.0,,
